1:  17/63x48÷17=
573:  (95÷11)÷4=
574:  58+(88-83)=
575:  39x(29/58x94)=
576:  (44+16)/50x10=
577:  (21-11)÷43=
578:  67-83x34/99=
579:  44÷(83÷69)/24=
580:  15÷51+52=
581:  100÷77÷20=
582:  (42/46÷25)x22=
583:  6/69+93+79/71=
584:  36/15x(81x55)=
585:  68+36-87=
586:  20/14x(49÷4)=
587:  53÷51+40=
588:  19÷24/1x63=
589:  78/84÷69+87/3=
590:  14+6/82÷79=
591:  80÷62+95=
592:  79-(31÷32)/58=
593:  (44+47)/48+92/93=
594:  96/99÷(57x25)=
595:  (79-54)+73=
596:  100÷98/94÷21=
597:  30÷43+59=
598:  74-(64/74÷81)=
599:  79x(31+40)=
600:  (77+23)x52/83=
601:  55+44x27=
602:  86÷(36x68)=
603:  (80x94)-23/55=
604:  98÷47/34÷7=
605:  38/100÷100/31÷4=
606:  17x(57+33)=
607:  21+97x16=
608:  (63/1+87)÷70/84=
609:  41x(87÷58)=
610:  (32+67)-57=
611:  97÷(25÷44)/58=
612:  (98+68)x19=
613:  80-(12+39)/16=
614:  (100+82)-67=
615:  39x(86/40x4)=
616:  56-(67÷37)=
617:  30÷(40x50)=
618:  56x(3+99)=
619:  (84+100)/49x70=
620:  48/74+97÷80/15=
621:  68/10+(42÷89)/2=
622:  86/52x(2x67)=
623:  (68x49)+47=
624:  34÷(15x22)=
625:  96/14+(12+12)=
626:  50+6÷17=
627:  (95+53)-2/17=
628:  45÷95+32=
629:  (79÷40)x46=
630:  51+(47-38)=
631:  (75÷1)÷40=
632:  84÷85x15/72=
633:  (75÷47)+29/78=
634:  62+16/100÷46=
635:  (94/51x20)+65/51=
636:  30+57÷10=
637:  72÷(47/42x47)=
638:  60x25+25=
639:  25+92-33=
640:  86-26+91=
641:  100/36x44÷47/86=
642:  95/96x10+91/72=
643:  80÷(79-30)=
644:  20x20x4/83=
645:  80+67x42=
646:  72+83-11=
647:  1/98x(54x6)=
648:  48/77x(28+50)=
649:  (93/88÷82)+61=
650:  6x47x99=
651:  (37-34)+70/70=
652:  57x(27÷58)=
653:  42/99+28-11/100=
654:  25x(46+12)=
655:  (53+54)÷59=
656:  (5÷39)x89=
657:  53/76x(73-52)=
658:  34+(70x34)/13=
659:  (86+93)÷38/27=
660:  85÷(53+37)=
661:  20x(76x49)=
662:  (5x16)/10÷76=
663:  53÷(59+38)=
664:  (33÷83)÷85=
665:  (100+66)x52=
666:  57÷(32÷3)=
667:  3+(98x62)=
668:  56+(2÷45)=
669:  15+34x20=
670:  85/11x49÷87=
671:  4x62÷47=
672:  (1x29)x83=
673:  (53/73+31)+7=
674:  (37+98)x60/70=
675:  59÷(68+56)/30=
676:  61÷79x31=
677:  23/45÷(74÷90)=
678:  (45+82)÷70=
679:  100÷(9/19x52)=
680:  6x69x84=
681:  15÷(23÷58)/99=
682:  67x82x60=
683:  (87÷15)/36+78=
684:  80÷(83-82)=
685:  19x(85÷19)=
686:  (50+51)+76=
687:  93x(24÷3)=
688:  91-85+56=
689:  99/99-(4÷41)/97=
690:  68x80-39=
691:  (99-74)x72=
692:  18/26+(30-5)=
693:  77÷(48÷40)=
694:  (28/8÷3)/61+63=
695:  77x(74+38)=
696:  92+(85/86+13)=
697:  (25/11x76)x53/96=
698:  (11/96÷49)x14=
699:  55/65x(53÷92)=
700:  (58/76x61)/6÷40=
701:  63+99÷53=
702:  (91-20)/6+18=
703:  (1÷38)+100=
704:  (87÷3)+26=
705:  26-1-12=
706:  42x81÷66=
707:  92÷(69+49)/66=
708:  24x47÷30=
709:  98-(31/25÷40)=
710:  24/97÷8/6÷94/4=
711:  (80x32)-28=
712:  46÷(72+18)=
713:  84+(1/3÷26)=
714:  39÷65÷33=
715:  79÷84x98=
716:  (43-7)÷55=
717:  (32÷20)÷29/74=
718:  (35/53+98)x27=
719:  74/54+(68x79)=
720:  (40-10)÷55=
721:  (100/39÷72)x92=
722:  (36/83+100)-48/48=
723:  67x(63+39)=
724:  (85/6x71)÷64=
725:  38÷73x46=
726:  29-42/41÷68=
727:  13÷(33+37)=
728:  (46x75)x57=
729:  81÷92+16=
730:  31/87x(67÷52)=
731:  83/27+54÷45=
732:  81-51÷98=
733:  68/59÷(67÷78)=
734:  65÷(48/75+6)/27=
735:  80x89/47+10=
736:  (47÷75)÷39=
737:  48÷7+77=
738:  34-33/67x11=
739:  12/88÷45÷33=
740:  97x29÷64=
741:  81+46÷60=
742:  13x72x28=
743:  (18x37)-89=
744:  (55÷26)x71=
745:  89÷52+10/9=
746:  72+(69+92)=
747:  (37/92+33)+53/75=
748:  (54/48÷85)÷46=
749:  43÷15x71=
750:  50x(15x23)=
751:  51/55x(80+44)=
752:  71/85÷(66/58÷24)/86=
753:  62x50+14=
754:  95-(4/31+18)/94=
755:  (91-2)-36=
756:  19+(59÷43)=
757:  (15÷29)/86x31=
758:  (47-5)/55x21=
759:  40÷(51x45)=
760:  2÷(94÷50)/67=
761:  (49x80)÷59/10=
762:  30÷53x97/12=
763:  (39÷55)/3÷100/69=
764:  (89x96)x12=
765:  15+86-63=
766:  (88+88)/21-2=
767:  59÷25x76=
768:  (68x37)x8=
769:  21÷(7+43)=
770:  80+89-79=
771:  55x78÷13=
772:  3+(15x54)=
773:  61x(64÷58)=
774:  (79+9)x66/82=
775:  16/45x(65x63)=
776:  1/11+(13+100)=
777:  53x(37x99)=
778:  87-23÷10=
779:  (31+95)÷16=
780:  35x(14+15)=
781:  44÷(83x18)=
782:  (91÷98)/80x58=
783:  32x5+45=
784:  29÷(40/21÷39)=
785:  (64+92)/2÷90=
786:  50÷9÷51=
787:  (82x52)÷96=
788:  17÷12÷41=
789:  (54+2)÷31=
790:  71x85/31x26/21=
791:  (41x31)/53÷70=
792:  93x63-64=
793:  (83x95)/4x79/57=
794:  22/8x(55+16)/70=
795:  9x64-99=
796:  13÷(39÷24)/69=
797:  (73÷84)/25÷63/28=
798:  57+48-96/88=
799:  95-(80/10÷100)=
800:  56/16+100+42=
801:  93÷69x43=
802:  78-(13/77+20)=
803:  100-(15/96÷92)=
804:  (77x87)+83/44=
805:  55÷46÷84=
806:  1x14x96=
807:  (91x23)+55=
808:  12÷(20x55)/97=
809:  (46x52)-45=
810:  (47+46)÷26/23=
811:  71+96÷12=
812:  32-(67/10÷40)=
813:  (77x64)÷25=
814:  71-1÷7/1=
815:  95÷96+60=
816:  (82x87)x33=
817:  (73x8)/67÷79/21=
818:  59/17x(59x57)=
819:  70÷(15÷65)=
820:  49÷7x7=
821:  (52÷58)÷80=
822:  18÷56+11=
823:  38-(38/50+31)=
824:  (41/49÷77)÷2/55=
825:  49x(60÷68)=
826:  45/32-(23÷25)=
827:  12/43+94-29=
828:  91/70+34x11=
829:  42/62x(75-70)/14=
830:  91/65+(8÷51)=
831:  (60x79)+18=
832:  41+(51+32)=
833:  33x86÷88/66=
834:  89x(35x5)=
835:  (78+51)÷49=
836:  26-(27+42)/8=
837:  89x20/50x49/50=
838:  4+41/9+61=
839:  49÷(37÷12)=
840:  (61÷20)+67=
841:  26÷(40+52)/37=
842:  42÷26+13=
843:  (74x18)-7=
844:  19-(82÷87)=
845:  67-51÷13=
846:  68x28-69=
847:  5/96+43+34=
848:  (64+80)÷85=
849:  (33÷98)/95+46=
850:  51÷(9/95+83)=
851:  36/35+(54+72)=
852:  4+27x33=
853:  23-(32/93+90)/55=
854:  99÷10÷77=
855:  (62x46)÷78/49=
856:  (91x70)-82=
857:  (25x83)x56=
858:  (80+38)/21÷29/52=
859:  (82÷17)÷99=
860:  (88÷3)/73x11=
861:  11+28-59/12=
862:  21/34+11÷90=
863:  96x(37÷56)=
864:  58x(98/44÷25)=
865:  38÷(65÷72)/60=
866:  18x30x86/90=
867:  (23÷15)/83x54=
868:  24+13/86-91/5=
869:  (46-17)÷70/16=
870:  100-24/88x39=
871:  88/35+(72÷60)=
872:  29x8x27/7=
873:  68÷5÷15=
874:  69÷96/70÷34=
875:  28x87÷66=
876:  1÷(56/9÷79)=
877:  15÷36+27/23=
878:  6÷1+38/5=
879:  93+(55x79)=
880:  (9x18)x19/26=
881:  7÷95÷33=
882:  94÷9+100/82=
883:  84-(1+15)=
884:  (89/35+59)+75/5=
885:  2/3÷74+83=
886:  (86+60)x88=
887:  52x49-98=
888:  82-80÷52=
889:  16+54/33+97=
890:  46x68x76=
891:  (45÷94)÷57=
892:  (68/11-1)/96+46=
893:  (82x98)x34=
894:  60+(14+77)=
895:  16÷(93x61)=
896:  56+(92x71)=
897:  (6x10)÷54=
898:  (49x50)x37=
899:  43+24÷12/50=
900:  96÷(60+63)=
901:  5÷(98/97+23)=
902:  88+(44/55÷41)/79=
903:  16+(72x65)/29=
904:  39+(99÷57)=
905:  49-(100÷33)/39=
906:  36x(4÷74)=
907:  (43÷25)/16+68/35=
908:  (21÷71)/2÷43=
909:  95+(99+20)=
910:  52÷(88/29+46)=
911:  90x67x80=
912:  34+(3÷86)=
913:  (57÷51)/1x18=
914:  (98+64)/13x54=
915:  90/68+50x46=
916:  (38÷17)x26=
917:  (99-97)/7+93=
918:  (45/51+80)x58=
919:  (18/38÷99)÷23/91=
920:  (65-34)x68=
921:  89x63+22=
922:  19+(13/76+25)=
923:  (5/80+36)x31=
924:  (94÷83)÷19/85=
925:  (68-12)+87=
926:  46+9x93=
927:  81+10/87÷64=
928:  (40-32)+4=
929:  90+(55/57+17)=
930:  56x35-65=
931:  47/67+14x62=
932:  96-(11÷14)=
933:  29-(28÷41)=
934:  32+53x50=
935:  42x(26x10)=
936:  79÷30÷78=
937:  (92+34)+4=
938:  35+60-86=
939:  (66-35)x99=
940:  (87-66)+34=
941:  95/66-56/6÷34=
942:  75+41/29÷68=
943:  68+(55+84)=
944:  (19x16)/93÷3=
945:  (14÷84)÷59/77=
946:  63+(100x96)=
947:  95+26+16/66=
948:  (34+82)x47/28=
949:  80÷(81x56)/41=
950:  55+64+80=
951:  (92-67)x47=
952:  (73+72)/35÷2=
953:  (23÷43)x99=
954:  17÷35÷47=
955:  61÷(16÷9)=
956:  48÷47+55/7=
957:  96/85+(38+60)=
958:  (5+73)÷69/65=
959:  (89-16)/3+98/4=
960:  9-(18÷92)=
961:  78x(50÷83)/41=
962:  (77÷4)÷76=
963:  8÷40x65/35=
964:  37-67÷19=
965:  (79x63)÷27=
966:  35+5÷28/83=
967:  (94/16÷1)+38=
968:  82+95-44=
969:  16-1/5÷27=
970:  (30+18)+93=
971:  51+(25/87+88)/54=
972:  72x(90-62)=
973:  (90+93)-13/91=
974:  (76-69)/22÷66/56=
975:  (9+87)-75=
976:  3+(33+20)=
977:  8/36x(13+61)=
978:  56-(11x84)/98=
979:  (41x22)x86=
980:  53÷90+27/95=
981:  86x83+12=
982:  91x(37÷12)=
983:  69x(77÷1)/73=
984:  76/29÷(74+94)=
985:  (34x79)÷3=
986:  (91x52)-56=
987:  32/58+(92-4)/36=
988:  29+(72÷90)/92=
989:  (18/12x36)x74=
990:  45x54/53+9=
991:  63x(57÷95)=
992:  63+(93+74)=
993:  97x75÷65/57=
994:  11÷75÷79=
995:  (95÷6)-13=
996:  (61-11)/72x63/43=
997:  (5x95)÷68=
998:  (16x82)+41/88=
999:  (25+19)/95x51/20=
1000:  22÷13/46x56=
1001:  83/16÷(60/31÷78)=
1002:  (86÷100)+67=
1003:  (15÷36)x52=
1004:  89÷(28x88)/96=
1005:  (100x63)-59=
1006:  (72+17)+14=
1007:  15÷(13÷45)=
1008:  15÷(3÷56)/17=
1009:  (68x55)x59=
1010:  (89+84)x45/93=
1011:  49-(35-7)=
1012:  29x55÷5=
1013:  69/9÷51/38+22=
1014:  33÷(88-20)=
1015:  96/66+54÷31=
1016:  34/29÷36x1=
1017:  41+(20/61÷32)=
1018:  (90x88)x79=
1019:  34÷27÷3=
1020:  41÷27x14=
1021:  (9x8)/13+53=
1022:  35÷(37+92)=
1023:  68/76÷59÷25=
1024:  (81x16)x79=
1025:  83/37+72-28=
1026:  48÷18/68x53/80=
1027:  6+99x45/81=
1028:  64/68x(89x9)=
1029:  45+(53+39)/93=
1030:  (31+13)/100÷6=
1031:  94-(97-38)=
1032:  (49÷94)÷75=
1033:  44+53-54=
1034:  (33+72)/26+36=
1035:  47x(29÷3)=
1036:  (96÷18)+18=
1037:  46x(16/37x25)=
1038:  25x65/80x50=
1039:  (83+38)÷29=
1040:  45+98/31+55/34=
1041:  (14+36)/67x5=
1042:  65+4÷34/6=
1043:  (69/82÷71)÷52=
1044:  23x37/91+14/39=
1045:  (76x46)÷79=
1046:  (34/67÷42)x62/63=
1047:  8/38+96+22=
1048:  (64÷25)x18=
1049:  96÷53/15-48/14=
1050:  (43÷10)/58x95=
1051:  37x(72÷74)/10=
1052:  (53÷71)÷46=
1053:  14/26+(28+37)/56=
1054:  12-44/13+87=
1055:  83+(50+26)=
1056:  (31x92)÷99=
1057:  54÷(96÷91)=
1058:  6+(25+25)=
1059:  21÷(15x23)=
1060:  98+56x41/66=
