1:  17/63x48÷17=16/21
218:  53/92+(70÷56)=1’19/23
219:  79÷(18x64)=79/1152
220:  92+(35/4÷45)=92’7/36
221:  (95/76÷4)x66=20’5/8
222:  (85+2)-82=5
223:  62÷(82÷45)=34’1/41
224:  84/73+(95/73x67)=88’25/73
225:  38-30÷60=37’1/2
226:  20+99+32=151
227:  61+(55÷77)=61’5/7
228:  47-100÷57=45’14/57
229:  (10x28)-5/30=279’5/6
230:  (77+16)/42x58=128’3/7
231:  56-(67÷30)=53’23/30
232:  (81+99)x8=1440
233:  (42÷88)x77=36’3/4
234:  80x79+18=6338
235:  62+(39÷15)=64’3/5
236:  (78-25)÷7=7’4/7
237:  17÷(72÷77)=18’13/72
238:  86÷13-97/67=5’146/871
239:  (84-16)+72=140
240:  (2x78)-4=152
241:  64-(79÷82)=63’3/82
242:  (84-20)x57=3648
243:  10+73x18/69=29’1/23
244:  25-90÷7=12’1/7
245:  58-58/79÷87=57’235/237
246:  (48-1)+34/15=49’4/15
247:  34x31-61=993
248:  25÷(34+88)=25/122
249:  (52/98÷57)x76=104/147
250:  (7+1)/31+50=50’8/31
251:  98/43-42÷96=1’579/688
252:  (12x83)x42=41832
253:  62/38+(94x34)=3197’12/19
254:  36÷90+22=22’2/5
255:  23/21+89-67=23’2/21
256:  74/55+73x96=7009’19/55
257:  23/73÷10+85=85’23/730
258:  (26+91)÷63=1’6/7
259:  55+61+9=125
260:  (89/93x98)x23=2157’5/93
261:  89-(80÷12)=82’1/3
262:  82/4+(49-19)=50’1/2
263:  1/22÷8x45/49=45/8624
264:  (31÷87)x23/1=8’17/87
265:  36/51+(36/42+3)/97=8607/11543
266:  3÷(22÷31)=4’5/22
267:  8x(56/37+84)=684’4/37
268:  17÷65÷11=17/715
269:  54÷36x68=102
270:  (84-62)÷51=22/51
271:  (26/65+42)/34x13=16’18/85
272:  86x17-27/50=1461’23/50
273:  (31-26)÷90=1/18
274:  44÷(13/75x46)=5’155/299
275:  (44/98x90)x93=3757’47/49
276:  26÷90÷38/60=26/57
277:  65/19+94x74=6959’8/19
278:  (33÷43)÷52=33/2236
279:  4/43+92÷99/11=10’122/387
280:  36÷96x77=28’7/8
281:  (20+67)/80x16=17’2/5
282:  60x(34+99)/15=532
283:  21÷74/24÷37=252/1369
284:  20x51x5=5100
285:  61+(81+83)/39=65’8/39
286:  43/40+(91-27)=65’3/40
287:  18÷(24+43)=18/67
288:  20-(18÷10)/28=19’131/140
289:  85/67x69x57=4989’42/67
290:  67+88x77=6843
291:  (79÷52)+47=48’27/52
292:  95-(2+53)=40
293:  (36x84)÷15=201’3/5
294:  (76/80x67)÷71=1273/1420
295:  97+(85÷4)=118’1/4
296:  84+20÷15=85’1/3
297:  (76x88)+56=6744
298:  (91x68)/95x34=2214’62/95
299:  (41/11÷2)/20÷39/34=697/8580
300:  (69-21)/98÷9/22=1’29/147
301:  13x(39+15)=702
302:  (51x17)-49/97=866’48/97
303:  (22/61x85)x47=1440’50/61
304:  (36/83+64)/62+29=30’101/2573
305:  (32+5)+18=55
306:  (81x35)+7=2842
307:  5÷(6/58+59)=145/1714
308:  52-27+94=119
309:  76÷(5÷80)=1216
310:  (23/27÷62)/31x87=667/17298
311:  97x66÷46=139’4/23
312:  (26/57+97)+11=108’26/57
313:  (22÷11)+80=82
314:  72÷(56÷5)=6’3/7
315:  (67/21+97)+3=103’4/21
316:  (87x12)+39/18=1046’1/6
317:  100÷(57-48)=11’1/9
318:  64x35÷95/29=683’15/19
319:  35+3x39=152
320:  98÷9÷8=1’13/36
321:  (19/54÷39)+47=47’19/2106
322:  56÷(26/69÷20)=2972’4/13
323:  (52/38÷88)+91=91’13/836
324:  78/76+(21+96)=118’1/38
325:  65÷14+70=74’9/14
326:  57+72x40=2937
327:  62x(32+77)=6758
328:  10÷(17x40)=1/68
329:  (4+10)x3=42
330:  85x(64÷24)=226’2/3
331:  44x(81÷67)=53’13/67
332:  49/86x10+57=62’30/43
333:  48x97÷63=73’19/21
334:  16-(1÷11)=15’10/11
335:  84÷29+39=41’26/29
336:  58+80x71=5738
337:  (45/67÷59)x90=1’97/3953
338:  (70x53)+67/23=3712’21/23
339:  51-82÷10=42’4/5
340:  48+(37+8)=93
341:  (87/9+55)/66x90=88’2/11
342:  30÷28÷84/87=1’43/392
343:  52/14x(93/30x53)/39=15’68/105
344:  33+(57x73)=4194
345:  13+(47x75)=3538
346:  (80÷19)/89+24=24’80/1691
347:  99+40-69=70
348:  58+99-82=75
349:  92x53x71/79=4382’18/79
350:  (30÷45)/55+88=88’2/165
351:  (63+92)-38=117
352:  (17÷94)/3÷27=17/7614
353:  21/4x(47+95)=745’1/2
354:  79/30÷32÷76=79/72960
355:  (97x49)x64=304192
356:  93+13÷44=93’13/44
357:  42-(40/37x17)=23’23/37
358:  78÷73x19/1=20’22/73
359:  (16+49)x79=5135
360:  (76+2)-20/43=77’23/43
361:  (87x61)÷50=106’7/50
362:  46x(84/3÷61)=21’7/61
363:  68÷(33/36÷90)=6676’4/11
364:  (77x70)+91=5481
365:  31+(48/76+52)=83’12/19
366:  82-(55/81x89)=21’46/81
367:  (75-2)÷95=73/95
368:  (1+17)+75=93
369:  13÷(49x87)/10=130/4263
370:  72x(38/55÷90)/99=152/27225
371:  52+23-60/99=74’13/33
372:  (15+82)-70=27
373:  51x63x29=93177
374:  73-77÷94/10=64’38/47
375:  15x(93+54)/15=147
376:  50÷58x81=69’24/29
377:  76x95/95÷96=19/24
378:  76+(73-8)=141
379:  50/11x46÷41/16=81’269/451
380:  (76/88x60)x85=4404’6/11
381:  54÷(97-32)=54/65
382:  (72x14)x81=81648
383:  4÷39÷51=4/1989
384:  (25x15)+6=381
385:  83-68÷73=82’5/73
386:  23+(2x31)=85
387:  39x(15/44÷98)=585/4312
388:  (23÷44)x63/57=483/836
389:  36÷85÷50=18/2125
390:  (21÷86)x36=8’34/43
391:  55-(33/53x52)/97=54’3425/5141
392:  40x37x17=25160
393:  32÷83/34x62/14=58’30/581
394:  8/10+21+4=25’4/5
395:  25+5/59x2=25’10/59
396:  60+81-80=61
397:  (70-9)x92=5612
398:  83/80x(58-33)=25’15/16
399:  33+81x27=2220
400:  47÷92÷38=47/3496
401:  14+(39/4x41)=413’3/4
402:  76÷65/30+34=69’1/13
403:  27+(62/45÷92)=27’31/2070
404:  26÷68+69/20=3’283/340
405:  17/38x(3+79)=36’13/19
406:  62+(16+85)/63=63’38/63
407:  27÷(13x80)=27/1040
408:  (45+53)x19=1862
409:  (100÷87)/33x28=2800/2871
410:  (27+59)-17/17=85
411:  (17x91)÷27=57’8/27
412:  64x(52/41x81)/44=149’193/451
413:  17+47+83=147
414:  33x(10÷59)/95=66/1121
415:  13+24÷45=13’8/15
416:  11x57-23=604
417:  40/57÷(100/34x15)=68/4275
418:  64x(47+46)=5952
419:  81+(51x48)=2529
420:  26÷32+69=69’13/16
421:  (73÷41)x61=108’25/41
422:  (30-14)/79x21/67=336/5293
423:  (39-6)÷17=1’16/17
424:  (100÷51)-40/72=1’62/153
425:  40÷(85-62)=1’17/23
426:  79x(38÷48)=62’13/24
427:  (65/89x31)÷22/16=16’456/979
428:  29+(45x75)=3404
429:  (70+45)+3/28=115’3/28
430:  (53x53)/74-74/24=34’389/444
431:  8x(64x53)=27136
432:  30/48+(100÷59)=2’151/472
433:  33/91x(86x96)=2993’85/91
434:  (55+81)/66+75=77’2/33
435:  84x(6÷18)=28
436:  65÷(3÷41)=888’1/3
437:  (100/11+62)x78=5545’1/11
438:  76+59÷90/42=103’8/15
439:  77/86÷51x55=4235/4386
440:  35x(73-18)=1925
441:  (45÷40)x62=69’3/4
442:  (65x98)x64=407680
443:  61-(81-23)=3
444:  98+41x43/8=318’3/8
445:  (88-11)÷75=1’2/75
446:  64+75-36/60=138’2/5
447:  46x(84+8)=4232
448:  67÷35+58/72=2’907/1260
449:  56x3x78=13104
450:  83x74÷67=91’45/67
451:  42/91+65x67=4355’6/13
452:  39x44-77=1639
453:  58+(71/99+53)=111’71/99
454:  (66÷34)÷24=11/136
455:  (68-23)+57=102
456:  69+(21÷67)=69’21/67
457:  79/88÷14/19x66=80’23/56
458:  15/56x5+98=99’19/56
459:  (26÷5)/89x87=5’37/445
460:  (48-43)x3=15
461:  (8+77)÷45=1’8/9
462:  17x10x7=1190
463:  47÷(95x65)/1=47/6175
464:  71x33+73=2416
465:  94x51÷59=81’15/59
466:  84+95x89=8539
467:  97-(67x47)/72=53’19/72
468:  7/3÷(37x12)/10=35/666
469:  62+1+32/2=79
470:  46+40÷67=46’40/67
471:  2-(77÷88)=1’1/8
472:  67÷(72/51x80)=1139/1920
473:  75x59x97=429225
474:  (23+100)-38=85
475:  (36x86)x16=49536
476:  48+37÷85=48’37/85
477:  75x73x93=509175
478:  72/38÷32/27x63=100’109/152
479:  86-58/18-25/75=82’4/9
480:  (66-41)+7=32
481:  98+27x62/89=116’72/89
482:  87+(51-10)=128
483:  (19÷44)+92=92’19/44
484:  45÷(49÷90)=82’32/49
485:  31+63/64÷85=31’63/5440
486:  94x94÷66=133’29/33
487:  (80x60)/25÷11=17’5/11
488:  (46-38)x52=416
489:  (62x60)÷92=40’10/23
490:  3x(75+43)=354
491:  69÷(55-38)=4’1/17
492:  (24÷14)÷65=12/455
493:  (46+14)x58=3480
494:  79-22÷70=78’24/35
495:  (81x78)-57=6261
496:  37/48+94/51+70=72’167/272
497:  (97÷70)÷97=1/70
498:  2/88÷(50/78÷50)=1’17/22
499:  (89x75)x41/94=2911’41/94
500:  12x(25/2x42)/39=161’7/13
501:  (42÷6)+32=39
502:  41/67+8÷72=436/603
503:  (14x70)+93=1073
504:  17÷(74x97)/57=969/7178
505:  (52/3x25)x20/31=279’53/93
506:  (44x7)÷19=16’4/19
507:  (76+15)+70=161
508:  79÷(41+34)=1’4/75
509:  72x29-47=2041
510:  (91÷83)/26x16=56/83
511:  56x(24÷93)=14’14/31
512:  97x34/4x16/58=227’13/29
513:  64+(75x73)/57=160’1/19
514:  65÷38+13=14’27/38
515:  71÷(12+51)/85=95’50/63
516:  (34+9)x29/13=95’12/13
517:  35+78/61+56=92’17/61
518:  2÷98+98=98’1/49
519:  91/34÷82/5+11=11’455/2788
520:  (19÷36)+74=74’19/36
521:  78÷53÷54=13/477
522:  (89+32)+21=142
523:  18-(33/55÷84)=17’139/140
524:  98x32-77/27=3133’4/27
525:  45+(51÷61)=45’51/61
526:  31-6+86=111
527:  66-46+46=66
528:  (71-59)x71=852
529:  8÷(76-50)=4/13
530:  73/51+(69/3+31)=55’22/51
531:  (36/50x58)+58=99’19/25
532:  66÷(57+12)=22/23
533:  64+(29/80÷48)=64’29/3840
534:  48÷34/100x74=10447’1/17
535:  37-35/97÷1=36’62/97
536:  33x(98x45)=145530
537:  (11÷81)/88÷11=1/7128
538:  (79/95÷62)÷24=79/141360
539:  88+76+55=219
540:  4x80÷87=3’59/87
541:  95+(91÷98)=95’13/14
542:  32+(26÷68)=32’13/34
543:  41x91x80=298480
544:  52+26/13x21=94
545:  (72x19)-21=1347
546:  (49÷92)+96=96’49/92
547:  78-64x47/68=33’13/17
548:  (93/68+71)÷22/34=111’37/44
549:  75÷(63x72)=25/1512
550:  (74÷34)+24=26’3/17
551:  45÷26/25x79/33=103’167/286
552:  25x(93x56)/44=2959’1/11
553:  50+(77-45)=82
554:  (99/28x25)÷100/43=38’1/112
555:  (78x79)-68/70=6161’1/35
556:  52x(63÷68)=48’3/17
557:  94÷(6x51)=47/153
558:  44÷85x55=28’8/17
559:  79+(78+26)=183
560:  (73-3)x2=140
561:  40+55-4=91
562:  59÷(73-27)=1’13/46
563:  4÷55x82=5’53/55
564:  (70x83)-85=5725
565:  48x(40+90)=6240
566:  (21x61)x92=117852
567:  19/11÷(2÷81)=69’21/22
568:  99÷29÷4=99/116
569:  24÷(55x46)=12/1265
570:  (26/54+51)/66+83/18=5’697/1782
571:  (94÷56)x14/57=47/114
572:  (49+68)x55=6435
573:  (95÷11)÷4=2’7/44
574:  58+(88-83)=63
575:  39x(29/58x94)=1833
576:  (44+16)/50x10=12
577:  (21-11)÷43=10/43
578:  67-83x34/99=38’49/99
579:  44÷(83÷69)/24=877’73/83
580:  15÷51+52=52’5/17
581:  100÷77÷20=5/77
582:  (42/46÷25)x22=462/575
583:  6/69+93+79/71=94’326/1633
584:  36/15x(81x55)=10692
585:  68+36-87=17
586:  20/14x(49÷4)=17’1/2
587:  53÷51+40=41’2/51
588:  19÷24/1x63=49’7/8
589:  78/84÷69+87/3=29’13/966
590:  14+6/82÷79=14’3/3239
591:  80÷62+95=96’9/31
592:  79-(31÷32)/58=78’1825/1856
593:  (44+47)/48+92/93=2’439/496
594:  96/99÷(57x25)=32/47025
595:  (79-54)+73=98
596:  100÷98/94÷21=4’584/1029
597:  30÷43+59=59’30/43
598:  74-(64/74÷81)=73’2965/2997
599:  79x(31+40)=5609
600:  (77+23)x52/83=62’54/83
601:  55+44x27=1243
602:  86÷(36x68)=43/1224
603:  (80x94)-23/55=7519’32/55
604:  98÷47/34÷7=10’6/47
605:  38/100÷100/31÷4=589/20000
606:  17x(57+33)=1530
607:  21+97x16=1573
608:  (63/1+87)÷70/84=180
609:  41x(87÷58)=61’1/2
610:  (32+67)-57=42
611:  97÷(25÷44)/58=9901’19/25
612:  (98+68)x19=3154
613:  80-(12+39)/16=76’13/16
614:  (100+82)-67=115
615:  39x(86/40x4)=335’2/5
616:  56-(67÷37)=54’7/37
617:  30÷(40x50)=3/200
618:  56x(3+99)=5712
619:  (84+100)/49x70=262’6/7
620:  48/74+97÷80/15=18’495/592
621:  68/10+(42÷89)/2=7’16/445
622:  86/52x(2x67)=221’8/13
623:  (68x49)+47=3379
624:  34÷(15x22)=17/165
625:  96/14+(12+12)=30’6/7
626:  50+6÷17=50’6/17
627:  (95+53)-2/17=147’15/17
628:  45÷95+32=32’9/19
629:  (79÷40)x46=90’17/20
630:  51+(47-38)=60
631:  (75÷1)÷40=1’7/8
632:  84÷85x15/72=7/34
633:  (75÷47)+29/78=1’3547/3666
634:  62+16/100÷46=62’2/575
635:  (94/51x20)+65/51=38’7/51
636:  30+57÷10=35’7/10
637:  72÷(47/42x47)=1’815/2209
638:  60x25+25=1525
639:  25+92-33=84
640:  86-26+91=151
641:  100/36x44÷47/86=223’271/423
642:  95/96x10+91/72=11’23/144
643:  80÷(79-30)=1’31/49
644:  20x20x4/83=19’23/83
645:  80+67x42=2894
646:  72+83-11=144
647:  1/98x(54x6)=3’15/49
648:  48/77x(28+50)=48’48/77
649:  (93/88÷82)+61=61’93/7216
650:  6x47x99=27918
651:  (37-34)+70/70=4
652:  57x(27÷58)=26’31/58
653:  42/99+28-11/100=28’1037/3300
654:  25x(46+12)=1450
655:  (53+54)÷59=1’48/59
656:  (5÷39)x89=11’16/39
657:  53/76x(73-52)=14’49/76
658:  34+(70x34)/13=217’1/13
659:  (86+93)÷38/27=127’7/38
660:  85÷(53+37)=17/18
661:  20x(76x49)=74480
662:  (5x16)/10÷76=2/19
663:  53÷(59+38)=53/97
664:  (33÷83)÷85=33/7055
665:  (100+66)x52=8632
666:  57÷(32÷3)=5’11/32
667:  3+(98x62)=6079
668:  56+(2÷45)=56’2/45
669:  15+34x20=695
670:  85/11x49÷87=4’337/957
671:  4x62÷47=5’13/47
672:  (1x29)x83=2407
673:  (53/73+31)+7=38’53/73
674:  (37+98)x60/70=115’5/7
675:  59÷(68+56)/30=14’17/62
676:  61÷79x31=23’74/79
677:  23/45÷(74÷90)=23/37
678:  (45+82)÷70=1’57/70
679:  100÷(9/19x52)=4’7/117
680:  6x69x84=34776
681:  15÷(23÷58)/99=3744’18/23
682:  67x82x60=329640
683:  (87÷15)/36+78=78’29/180
684:  80÷(83-82)=80
685:  19x(85÷19)=85
686:  (50+51)+76=177
687:  93x(24÷3)=744
688:  91-85+56=62
689:  99/99-(4÷41)/97=3973/3977
690:  68x80-39=5401
691:  (99-74)x72=1800
692:  18/26+(30-5)=25’9/13
693:  77÷(48÷40)=64’1/6
694:  (28/8÷3)/61+63=63’7/366
695:  77x(74+38)=8624
696:  92+(85/86+13)=105’85/86
697:  (25/11x76)x53/96=95’95/264
698:  (11/96÷49)x14=11/336
699:  55/65x(53÷92)=583/1196
700:  (58/76x61)/6÷40=1769/9120
701:  63+99÷53=64’46/53
702:  (91-20)/6+18=29’5/6
703:  (1÷38)+100=100’1/38
704:  (87÷3)+26=55
705:  26-1-12=13
706:  42x81÷66=51’6/11
707:  92÷(69+49)/66=51’27/59
708:  24x47÷30=37’3/5
709:  98-(31/25÷40)=97’969/1000
710:  24/97÷8/6÷94/4=36/4559
711:  (80x32)-28=2532
712:  46÷(72+18)=23/45
713:  84+(1/3÷26)=84’1/78
714:  39÷65÷33=1/55
715:  79÷84x98=92’1/6
716:  (43-7)÷55=36/55
717:  (32÷20)÷29/74=4’12/145
718:  (35/53+98)x27=2663’44/53
719:  74/54+(68x79)=5373’10/27
720:  (40-10)÷55=6/11
721:  (100/39÷72)x92=3’97/351
722:  (36/83+100)-48/48=99’36/83
723:  67x(63+39)=6834
724:  (85/6x71)÷64=15’275/384
725:  38÷73x46=23’69/73
726:  29-42/41÷68=28’1373/1394
727:  13÷(33+37)=13/70
728:  (46x75)x57=196650
729:  81÷92+16=16’81/92
730:  31/87x(67÷52)=2077/4524
731:  83/27+54÷45=4’37/135
732:  81-51÷98=80’47/98
733:  68/59÷(67÷78)=1’1351/3953
734:  65÷(48/75+6)/27=264’51/166
735:  80x89/47+10=161’23/47
736:  (47÷75)÷39=47/2925
737:  48÷7+77=83’6/7
738:  34-33/67x11=28’39/67
739:  12/88÷45÷33=1/10890
740:  97x29÷64=43’61/64
741:  81+46÷60=81’23/30
742:  13x72x28=26208
743:  (18x37)-89=577
744:  (55÷26)x71=150’5/26
745:  89÷52+10/9=2’385/468
746:  72+(69+92)=233
747:  (37/92+33)+53/75=34’751/6900
748:  (54/48÷85)÷46=9/31280
749:  43÷15x71=203’8/15
750:  50x(15x23)=17250
751:  51/55x(80+44)=114’54/55
752:  71/85÷(66/58÷24)/86=1515’67/935
753:  62x50+14=3114
754:  95-(4/31+18)/94=94’1176/1457
755:  (91-2)-36=53
756:  19+(59÷43)=20’16/43
757:  (15÷29)/86x31=465/2494
758:  (47-5)/55x21=16’2/55
759:  40÷(51x45)=8/459
760:  2÷(94÷50)/67=71’13/47
761:  (49x80)÷59/10=664’24/59
762:  30÷53x97/12=4’61/106
763:  (39÷55)/3÷100/69=897/5500
764:  (89x96)x12=102528
765:  15+86-63=38
766:  (88+88)/21-2=6’8/21
767:  59÷25x76=179’9/25
768:  (68x37)x8=20128
769:  21÷(7+43)=21/50
770:  80+89-79=90
771:  55x78÷13=330
772:  3+(15x54)=813
773:  61x(64÷58)=67’9/29
774:  (79+9)x66/82=70’34/41
775:  16/45x(65x63)=1456
776:  1/11+(13+100)=113’1/11
777:  53x(37x99)=194139
778:  87-23÷10=84’7/10
779:  (31+95)÷16=7’7/8
780:  35x(14+15)=1015
781:  44÷(83x18)=22/747
782:  (91÷98)/80x58=377/560
783:  32x5+45=205
784:  29÷(40/21÷39)=593’31/40
785:  (64+92)/2÷90=13/15
786:  50÷9÷51=50/459
787:  (82x52)÷96=44’5/12
788:  17÷12÷41=17/492
789:  (54+2)÷31=1’25/31
790:  71x85/31x26/21=241’19/651
791:  (41x31)/53÷70=1271/3710
792:  93x63-64=5795
793:  (83x95)/4x79/57=2732’1/12
794:  22/8x(55+16)/70=2’221/280
795:  9x64-99=477
796:  13÷(39÷24)/69=552
797:  (73÷84)/25÷63/28=73/4725
798:  57+48-96/88=103’10/11
799:  95-(80/10÷100)=94’23/25
800:  56/16+100+42=145’1/2
801:  93÷69x43=57’22/23
802:  78-(13/77+20)=57’64/77
803:  100-(15/96÷92)=99’2939/2944
804:  (77x87)+83/44=6700’39/44
805:  55÷46÷84=55/3864
806:  1x14x96=1344
807:  (91x23)+55=2148
808:  12÷(20x55)/97=1’16/275
809:  (46x52)-45=2347
810:  (47+46)÷26/23=82’7/26
811:  71+96÷12=79
812:  32-(67/10÷40)=31’333/400
813:  (77x64)÷25=197’3/25
814:  71-1÷7/1=70’6/7
815:  95÷96+60=60’95/96
816:  (82x87)x33=235422
817:  (73x8)/67÷79/21=2’1678/5293
818:  59/17x(59x57)=11671’10/17
819:  70÷(15÷65)=303’1/3
820:  49÷7x7=49
821:  (52÷58)÷80=13/1160
822:  18÷56+11=11’9/28
823:  38-(38/50+31)=6’6/25
